"grad.lhs_n.1" "grad.lhs_n.2" "grad.lhs_n.3" "grad.lhs_n.4" "grad.lhs_n.5" "grad.lhs_n.6" "grad.lhs_n.7" "grad.lhs_n.8" "grad.lhs_n.9" "grad.lhs_n.10" "grad.lhs_n.11" "grad.lhs_n.12" "grad.lhs_n.13" "grad.lhs_n.14" "grad.lhs_n.15" "grad.lhs_n.16" "grad.lhs_n.17" "grad.lhs_n.18" "grad.lhs_n.19" "grad.lhs_n.20" "grad.lhs_n.21" "grad.lhs_n.22" "grad.lhs_n.23" "grad.lhs_n.24" "grad.lhs_n.25" "grad.lhs_n.26" "grad.lhs_n.27" "grad.lhs_n.28" "grad.lhs_n.29" "grad.lhs_n.30" "grad.lhs_n.31" "grad.lhs_n.32" "grad.lhs_n.33" "grad.lhs_n.34" "grad.lhs_n.35" "grad.lhs_n.36" "grad.lhs_n.37" "grad.lhs_n.38" "grad.lhs_n.39" "grad.lhs_n.40" "grad.lhs_n.41" "grad.lhs_n.42" "grad.lhs_n.43" "grad.lhs_n.44" "grad.lhs_n.45" "grad.lhs_n.46" "grad.lhs_n.47" "grad.lhs_n.48" "grad.lhs_n.49" "grad.lhs_n.50" "grad.lhs_n.51" "grad.lhs_n.52" "grad.lhs_n.53" "grad.lhs_n.54" "grad.lhs_n.55" "grad.lhs_n.56" "grad.lhs_n.57" "grad.lhs_n.58" "grad.lhs_n.59" "grad.lhs_n.60" "grad.lhs_n.61" "grad.lhs_n.62" "grad.lhs_n.63" "grad.lhs_n.64" "grad.lhs_n.65" "grad.lhs_n.66" "grad.lhs_n.67" "grad.lhs_n.68" "grad.lhs_n.69" "grad.lhs_n.70" "grad.lhs_n.71" "grad.lhs_n.72" "grad.lhs_n.73" "grad.lhs_n.74" "grad.lhs_n.75" "grad.lhs_n.76" "grad.lhs_n.77" "grad.lhs_n.78"
"tc.temp.mean" 0.0684922359070348 0.069028130680863 0.0705496842200756 0.0726763632946412 0.0750473383061186 0.0773523005119237 0.0793390263026106 0.0808144670378591 0.0817546020275314 0.0822213051222481 0.0822583990537425 0.0818945654987765 0.0811470157881552 0.0800245956439258 0.0785995809810535 0.0771066946356417 0.0758366506687247 0.0751085471064832 0.075238036999597 0.0764850072657771 0.0789602497085669 0.0824095683552789 0.0864139615884737 0.0905666496029503 0.0945256219584443 0.0980461259573585 0.100992231315305 0.103331442825273 0.105113810389096 0.106438888195863 0.107424641549515 0.108182404263864 0.10880046733061 0.109335602787558 0.109810483077687 0.110228037713927 0.110583117542614 0.110869627466579 0.111084881177746 0.111231420921369 0.111317571014281 0.111355550967935 0.111357867810846 0.111334928272507 0.111293726669925 0.111237681479954 0.111168423040316 0.111089502398095 0.111005305366773 0.110920982204887 0.110842409229345 0.110775721712466 0.110726593750115 0.110699256182403 0.110695730958692 0.110715699386521 0.11075679409764 0.110815255428053 0.110886793636905 0.110966362710005 0.111047867823725 0.111126673915367 0.111199424206989 0.111263374025366 0.111315754239733 0.111353574871724 0.111375435494043 0.111380783027369 0.111369202475478 0.111340652139716 0.111295641610112 0.111235370271654 0.111164903696515 0.111094228035204 0.111032973186545 0.110989549411878 0.110971194266344 0.110984565972221
"dn.spat.mean" -4.6290176948548 -7.08603070896258 -5.62609774751269 -4.16593663092926 -2.7971177581033 -1.56419076216356 -0.510531259604644 -0.0495210415159603 0.0660654471845795 0.187660345555389 0.316790257709885 0.450331198218673 0.584849389280784 0.36488517413576 -0.613731335899489 -1.696853772604 -2.77019655634117 -3.77743571984721 -4.62722398117702 -5.13641850201244 -4.79741726611014 -4.02582912356248 -3.17544020265715 -2.32843863404736 -1.5503315542932 -0.887571020215655 -0.402088002542736 -0.126810087796753 -0.000528438897323382 0.0182717898244151 -0.0270155938944945 -0.0944690273088766 -0.144910775086827 -0.149299705802646 -0.133619601768292 -0.107874575401809 -0.0742144482071079 -0.0351112674724528 0.00738251990391126 0.0497922451891403 0.0786054427133892 0.0921439540141232 0.0984440045546999 0.105944770052047 0.121998073827094 0.152759442240617 0.195915320905332 0.239695478857556 0.282938184461375 0.326661127026132 0.372216726453412 0.426943405404151 0.555758390607121 0.721835412498429 0.873812112033409 1.01500223375654 1.14927945040291 1.27975294388469 1.43335448156195 1.63300659930868 1.82408107968068 2.0008825006802 2.16626961327012 2.32365405349994 2.49250597820869 2.75259424737115 2.96594753255457 3.07410367871274 3.09767457286822 3.05657647571633 2.97061604652237 2.9413445763188 2.94847690226613 2.85200974136263 2.70061725636884 2.55362396646283 2.47050181935601 1.42673181741344
"ga.spat.mean" 0.439515543792312 0.573576440416943 0.705753075335315 0.873397245463696 1.09056704913005 1.37761627916031 1.75804086679584 2.17729835115151 2.58625513499009 2.95859865798592 3.21282646211002 3.23316243324833 2.87722617044878 2.26473268646021 1.85726891366342 1.43019555216203 0.976732333977099 0.554129479980247 0.220189649155298 0.00272782482434874 -0.218024581900399 -0.373144820908043 -0.408242448269682 -0.353376680938953 -0.243185377344188 -0.110331571818718 -0.0283740935645349 -0.0268751299536359 -0.0418215506366311 -0.0675850355659632 -0.100485156807366 -0.135169617033771 -0.166002530622557 -0.184720517462971 -0.18684672511385 -0.175698413634887 -0.155615728390784 -0.130625257981809 -0.10462591084218 -0.092483238156632 -0.0930718689987444 -0.093748353947688 -0.0940568033395355 -0.0935939723385722 -0.091835556689806 -0.0897406773706458 -0.0892329458008243 -0.0874926318730125 -0.0856779194631772 -0.0853995403081192 -0.0877960310451646 -0.0937016826385184 -0.104207965924906 -0.116606390421505 -0.129839637607411 -0.144817261174714 -0.162487521762172 -0.183950208479742 -0.218098703445561 -0.276749206000277 -0.349569364557816 -0.436567292056415 -0.539067823181483 -0.65767812590363 -0.792381019908564 -0.943057563646517 -1.10540648346851 -1.27840124777121 -1.46206140822776 -1.65423276552404 -1.84845007570105 -1.92447943887414 -1.80360419008517 -1.6278929602041 -1.41613297392089 -1.17309642977412 -0.901881408927547 -0.35207842944824
"rn.spat.mean" 0.0359509239610466 0.0359498008885018 0.0362827349333921 0.0368610491525573 0.0375878868630736 0.0383733013542454 0.0391362662681418 0.0397964553358105 0.040266459518849 0.040455030919294 0.040276112121357 0.0396625810107349 0.0385844335766364 0.0370707720624249 0.0352046652580943 0.0330817465083302 0.0308354415037969 0.0286309298673804 0.026641146335157 0.025012752033981 0.0238267662005856 0.0230637444334341 0.022636565134042 0.0224316324336758 0.0223367618186247 0.0222606445442624 0.0221423629397272 0.0219627676481153 0.0217418267957345 0.0215114465042136 0.0213034257068315 0.0211415385718882 0.0210371646265797 0.0209881935232773 0.0209817710848021 0.021001664582011 0.0210327067379326 0.0210629868858129 0.0210845541104077 0.0210930735920434 0.0210894700202599 0.0210786044053781 0.0210645687309445 0.0210489224460925 0.0210299054522434 0.0210024898181992 0.0209591595502875 0.0208918228824863 0.020793683188781 0.0206597369652194 0.0204866537471381 0.0202723105063108 0.0200145777829218 0.0197039843672038 0.0193269438912478 0.01887105461784 0.0183251021638808 0.017679235407157 0.0169253306105831 0.0160556659457899 0.0150622421476196 0.0139411598781027 0.0126924666452245 0.0113191469727688 0.00982601026966448 0.00821919641141697 0.00651187447628626 0.00472724065624352 0.00289626481591693 0.00105591457276943 -0.00075260146758997 -0.00248582303497371 -0.0041122049453989 -0.0056173650325057 -0.00698764555548499 -0.00821199436322238 -0.00928537240132701 -0.0102125633689721
"ecm.temp.mean" -0.00578567317644345 -0.00708275961094694 -0.00870020977362763 -0.0107131401605933 -0.0132110125332001 -0.0162985815224724 -0.0200959285550768 -0.0247348284251367 -0.0303223965225897 -0.036912711153896 -0.0444914853535706 -0.0529465684421822 -0.0620406535493127 -0.07139405332279 -0.0805835992775586 -0.089337292118837 -0.0974424640515202 -0.104736546273259 -0.111113156717576 -0.116522806858056 -0.120965310478083 -0.124457010185393 -0.12703918102814 -0.128785303128981 -0.129794403384616 -0.130184235623966 -0.130084351172194 -0.129601774693478 -0.128804688077745 -0.12776027553203 -0.126536534384007 -0.125200989290303 -0.123819713698344 -0.122450784641043 -0.121121021095395 -0.119846724675883 -0.118642882587503 -0.117523339007278 -0.116501002674895 -0.115587642645022 -0.114784757110078 -0.114084099021539 -0.11347731451774 -0.1129563740139 -0.11251355315512 -0.112141399413322 -0.111832794574572 -0.11158111174807 -0.111379846460397 -0.111222506707898 -0.11110258965207 -0.11101356711026 -0.110949045110262 -0.110904729361428 -0.1108777442332 -0.110865182491943 -0.110864086328395 -0.110871460728188 -0.110884292432414 -0.110900196936321 -0.110918170248688 -0.110937407068887 -0.110957124861916 -0.11097656409158 -0.110994986150985 -0.111011727404066 -0.111026581189085 -0.111039522479519 -0.111050480783471 -0.111059338997511 -0.111065941043605 -0.111070109294364 -0.111071866768382 -0.111071579336031 -0.111069692895431 -0.111066694646182 -0.111063098428091 -0.111059433314664
"eta.spat.mean" 0.000593026417095488 0.000730819289957659 0.000901507943893932 0.00111240323363409 0.00137218531386941 0.00169108473866138 0.0020810838444117 0.00255581237704639 0.00312557129895918 0.00379369151768252 0.00455518009241839 0.00539327956019137 0.006276341828809 0.00715609058116965 0.00798097830563838 0.008722008173999 0.00936130013544685 0.00989043753735316 0.0103102749813092 0.0106297552197346 0.0108634039280907 0.0110245663205108 0.0111261509304653 0.0111816611022711 0.0112041534110161 0.0112054679153803 0.0111957287120604 0.0111818447043334 0.0111671565562109 0.0111535831661468 0.0111420464403448 0.0111327476374079 0.0111254206864967 0.0111195890031886 0.0111149253152085 0.0111112015412083 0.0111082572759918 0.0111060152605047 0.0111044819679645 0.0111037279707928 0.0111036667300521 0.0111040669534699 0.0111047585470279 0.0111056293324018 0.0111066167575918 0.0111077005992892 0.0111088643748375 0.0111100091417272 0.0111110080433953 0.0111117214776252 0.0111119968646276 0.0111116686424109 0.0111105906581641 0.0111090288333379 0.0111074979244735 0.0111064378973921 0.0111061844875334 0.0111069463123001 0.0111087812238077 0.0111116265711563 0.0111153313414512 0.0111194957810819 0.011123397606899 0.0111259452563793 0.0111256460135777 0.0111210887215331 0.0111140362451701 0.0111066373762652 0.0110995864129704 0.0110923588611236 0.0110835030034117 0.011071043653482 0.0110572244913461 0.0110507267205638 0.0110608200857861 0.0110973562951197 0.0111713358401168 0.0112955759241755
"mde.temp.mean" 0.0628872287678525 0.0629375512811 0.0632480574501113 0.0637916924832279 0.0645365036740678 0.0654470935321212 0.0664861147448277 0.0676162989828264 0.0688079175486353 0.0700361075740239 0.071276375399452 0.0725051061114889 0.0737001037128121 0.0748410623067599 0.0759119750081971 0.0769026288845847 0.0778038868977471 0.0786074270756339 0.0793061126375494 0.0798943140353896 0.0803680328106219 0.0807244728159457 0.0809632801356241 0.0810868961506628 0.0811001609161051 0.0810098512359933 0.0808241818006195 0.0805521631607033 0.0802033587342246 0.0797877279756851 0.079315052195847 0.0787944852509371 0.0782342604359896 0.0776415499027509 0.0770224890754316 0.0763822194610662 0.0757249905760772 0.0750542982385718 0.0743730263044698 0.0736835861270476 0.0729881848306957 0.0722889105759826 0.0715876466635423 0.0708861145557878 0.0701859059997881 0.0694885034036604 0.0687953766627915 0.0681081639672824 0.0674284388701046 0.0667576599134916 0.0660971776095379 0.0654482412938394 0.0648120131326032 0.0641896559001045 0.0635823067010666 0.0629910246638027 0.0624168010619944 0.0618605707355299 0.0613232225918564 0.0608055076279045 0.0603079492939135 0.0598310639714706 0.059375391010013 0.0589414915425659 0.0585299475480006 0.0581413405186256 0.0577761038969794 0.0574345964996319 0.0571171749302983 0.0568241935484623 0.0565560052096382 0.0563129544827133 0.0560949263449605 0.0559011230235872 0.0557306966365485 0.0555828205979763 0.055456708203854 0.055351634658628
"dm.spat.mean" -0.954819116858077 -1.85799871570554 -2.0936110175022 -2.30589894158003 -2.49364564553015 -2.65573669396997 -2.7773031423773 -2.70165019348273 -2.4963079150945 -2.28389430488156 -2.07078912505293 -1.86068309035584 -1.65684265851118 -1.47206495786656 -1.31346785996265 -1.15674392227583 -1.00050588306167 -0.846667365240979 -0.697041734022516 -0.554788731708795 -0.431341031637986 -0.321517633174975 -0.220579038708005 -0.128754267999812 -0.0460398817580722 0.0277617469420525 0.0911681540342657 0.144100553357814 0.190399840641793 0.23153309017896 0.268615273916217 0.302590019450789 0.333716528755884 0.360643885630085 0.385621970347921 0.409875831935645 0.433703779558482 0.457249842755022 0.480667470938606 0.506678245180631 0.534724971723291 0.561664834115825 0.587325444816658 0.611661116431284 0.6346173847214 0.658041086098409 0.685970464177321 0.713179207722739 0.738402619316144 0.76165061590546 0.782923179940847 0.803645421592027 0.839743308216969 0.882611488021054 0.919296069538409 0.950044284593909 0.975368766876092 0.995825700324803 1.02040913376591 1.05737560425869 1.08893702794845 1.11344826801618 1.13188359673918 1.14520541836592 1.15915003193028 1.20297944708628 1.24757193120134 1.27685103523559 1.29506090457893 1.30614118056624 1.31348120519696 1.31433419682927 1.30511955571096 1.29507270427997 1.28968044191237 1.29353466436889 1.3112739906886 0.766478595300076
"alpha.spat.mean" 0.940326186990771 0.93968348904635 0.937905391212656 0.935225819617142 0.931878736944729 0.928083470045733 0.92403757171553 0.919909870587762 0.91577423466725 0.911649184461716 0.907554203210766 0.903509981494781 0.899537916676442 0.895659562704006 0.891839674550211 0.887921447775058 0.883731332877391 0.879097347357013 0.8738581005452 0.867877430246578 0.861073747850213 0.853501371772368 0.845283934146124 0.836557693410979 0.82745836524849 0.81811062632582 0.808620671248653 0.799066289316407 0.789491588510937 0.779916803033316 0.770344945257957 0.760768758754207 0.751177435409035 0.74156289290426 0.731924427998299 0.722264553125703 0.712587393430899 0.702898342300714 0.693203665266433 0.683510171138721 0.673824655258917 0.664151734386758 0.654493577807823 0.644851194983825 0.63522578776791 0.625619928392698 0.616038545774775 0.606488554812181 0.596976970431682 0.587510721443662 0.578096813607224 0.568742546329424 0.559456688506102 0.550259880256664 0.541178732223938 0.532237595745776 0.523459093818768 0.514864741779663 0.506475445491862 0.498315816642222 0.490417845635765 0.482812148476397 0.475527054185268 0.468589062860534 0.462023392326298 0.455857097850099 0.450131853565756 0.444881845226383 0.440124402770475 0.435863302979665 0.432091960675749 0.428796602356215 0.425972537831957 0.423620909920785 0.421726261618868 0.420264335197478 0.419211577814137 0.418554670746347
