"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78"
"tc.temp.mean.fds" 0.0806730418902878 0.0807199413999217 0.0809995785035981 0.0814040217555674 0.0817906369773919 0.0820070021822556 0.0819134544587343 0.0813994894386322 0.0803940683130055 0.0788743201568089 0.0768785875982842 0.0745260778710837 0.0720375512673467 0.0697434535803386 0.0680630630103294 0.0674447687894517 0.0682731354492336 0.0707663891406886 0.074898598931416 0.0802314363453442 0.0865942591857115 0.0931295986837234 0.0992229273574508 0.104385553747061 0.108330380738699 0.110991963035722 0.112495375018779 0.113091805236828 0.113083424801131 0.112757022896109 0.112338534308318 0.111972418278609 0.111723267925295 0.111593033082584 0.111545812034358 0.111532779581284 0.111511770064687 0.111458616687096 0.111369919799757 0.111258960697089 0.111147671296823 0.111057826338946 0.111004078195835 0.11099039526806 0.111010243786672 0.111049789686449 0.111092716748831 0.111125057105207 0.11113868040845 0.111132655811923 0.111112394820149 0.111087105778243 0.111066488645198 0.111057695482237 0.111063388964039 0.111081333357258 0.11110547851588 0.111128082262554 0.111142166110409 0.111143566641936 0.111132020658217 0.111111041731757 0.111086709802347 0.111065798987147 0.111053829969301 0.111053614599696 0.111064676847075 0.111083648082547 0.11110543672975 0.111124755538887 0.111137520406954 0.111141729028243 0.111137643386309 0.111127349432655 0.1111139516912 0.111100714709263 0.111090386702508 0.111084796062987
"dn.spat.mean.fds" -4.95227832074467 -5.59292015494289 -5.06366985072068 -4.30107036386657 -3.35714135207636 -2.30850587990783 -1.25326692187361 -0.297637700991422 0.461274619060546 0.949308991301775 1.12221301936871 0.96696969650788 0.50098168866451 -0.228386992535901 -1.14408961441403 -2.14200805392517 -3.09908050616493 -3.88871141012245 -2.8288315920294 -6.51685567231642 -4.29341665675435 -3.83552260922027 -3.15533987570943 -2.37243771334689 -1.60617162814869 -0.950897585155541 -0.461841586592723 -0.152898934434201 -0.00396637556788946 0.0264084472060031 -0.0126757882288844 -0.0760238248344053 -0.129967738868776 -0.155605676479385 -0.1481714019987 -0.1136497525714 -0.0640078293326308 -0.0123694677285597 0.0308189049754738 0.0600150964045724 0.0750631038809529 0.0802101174316705 0.0822148409940949 0.0882028536127853 0.103857247859862 0.132342765036288 0.174111650610678 0.227494654299733 0.289795929515914 0.358521031270526 0.432382041646903 0.511826547784434 0.598991553581919 0.697144519426328 0.809800225137641 0.939766137227024 1.08836121880273 1.25498314453729 1.43709071707656 1.63055342143046 1.83022931584366 2.03058829708871 2.22620912631345 2.41203925527144 2.58339755080057 2.73579512327616 2.86472135888373 2.96556884139417 3.03384014473298 3.06569320910922 3.05875776978411 3.01302609111283 2.93153037820362 2.82050865464748 2.68885401348189 2.54682723267522 2.40423706755582 4.17689121677783
"ga.spat.mean.fds" 0.955422802312318 0.879188970343386 1.03223220222094 1.24719582045779 1.50689399878202 1.78805570153836 2.06341092306041 2.30586893818453 2.49279983065409 2.60840540365715 2.64353287120595 2.59393072405407 2.45868921895354 2.2401717980817 1.94563514515173 1.58960804206913 1.19541716023103 0.794288703809517 0.707789348507337 -0.262766946799945 -0.114035093153912 -0.255439687801622 -0.312052853427259 -0.303427575516178 -0.255805061968596 -0.195095383167995 -0.141447265957906 -0.106522179758492 -0.0934731392431253 -0.0988706798712936 -0.115547357046613 -0.135439098757041 -0.151796669626979 -0.160468460869091 -0.160233607521117 -0.152362878904057 -0.139699108852564 -0.125582172682906 -0.112904955035337 -0.103495254146152 -0.0979019552936747 -0.0955524288868441 -0.0951664838545983 -0.0952733696310712 -0.0946828634912103 -0.0928002323461023 -0.0897330186955328 -0.0861987440922725 -0.0832920949785089 -0.0821977852669622 -0.0839372032746533 -0.0892159462410831 -0.0984036048389091 -0.111637589453838 -0.129009921798873 -0.150777306832469 -0.177533562834117 -0.210298090407653 -0.250499181800709 -0.299859118858413 -0.360211494710091 -0.433294095177686 -0.520560245094763 -0.623038761153793 -0.741251850587392 -0.875177836264244 -1.02422834442096 -1.18720335231541 -1.3621956184795 -1.54643837072738 -1.73612235398072 -1.92624181100892 -2.11055192446932 -2.28172072132805 -2.43172888091919 -2.55251311850434 -2.63677668462267 -2.67770113470883
"rn.spat.mean.fds" 0.0357649319680164 0.0359785709668971 0.036432489827509 0.0370651015099265 0.0377956362934335 0.0385363480248348 0.0392029742741123 0.0397208410518723 0.040025996600412 0.0400632467536934 0.0397844732452058 0.0391503862897925 0.0381372087342994 0.0367474434847033 0.0350214409761279 0.0330446113686299 0.0309448171486275 0.0288767132567603 0.0269945577547441 0.0252572404327257 0.0241087776414398 0.0233207031119213 0.0228347193855405 0.0225571745786668 0.0223881267268658 0.0222462157983726 0.0220825916532682 0.0218825172309423 0.0216575938129023 0.0214334738025294 0.0212376423852751 0.0210903507742888 0.0210000267097039 0.0209630300520934 0.0209666567145193 0.0209938293859107 0.0210278915055231 0.0210562523643109 0.0210721853927602 0.0210746943562899 0.0210668734241874 0.0210534872661562 0.0210385524638079 0.0210235478947312 0.0210065995725819 0.0209826682259285 0.0209444986838723 0.0208839266873595 0.0207931059690139 0.0206653067821513 0.0204951077711501 0.0202780005378762 0.0200095943886316 0.0196847062451333 0.0192966302588512 0.0188368111704569 0.0182950224963544 0.017660013174604 0.0169204723860637 0.0160661006849418 0.0150885793200202 0.0139822933627432 0.012744766564604 0.0113768756718337 0.00988299704413814 0.00827127356350375 0.00655416204565731 0.00474933239081878 0.00288085552705937 0.000980465926433998 -0.000911447276257895 -0.00274553912819908 -0.00446429498072961 -0.00600416672380398 -0.00729908115065145 -0.00828503574949916 -0.00890519637048976 -0.00911470338211349
"ecm.temp.mean.fds" -0.00671795054304539 -0.0073208660425593 -0.00846537111962347 -0.0102372450430316 -0.0127513884187282 -0.0161325473308097 -0.0204882599223868 -0.0258769008445079 -0.0322779658908165 -0.0395740320885424 -0.0475519386424117 -0.055924720805695 -0.0643685599099658 -0.072564349724584 -0.0802335322400533 -0.0871617574067372 -0.0932089613679448 -0.0983081901245822 -0.102456995409919 -0.105792041896731 -0.108171911233044 -0.10986145107708 -0.110981077068713 -0.111653441359328 -0.111994199245143 -0.112105239818091 -0.11207063176952 -0.111955186792877 -0.111805234911881 -0.111650996774381 -0.111509857394665 -0.11138988919387 -0.11129310784474 -0.111218128202159 -0.111162076210414 -0.111121772561073 -0.111094315002467 -0.111077242139077 -0.111068467217037 -0.11106613854575 -0.111068530472128 -0.111074011771371 -0.111081090274534 -0.111088501656731 -0.111095298957524 -0.111100905017987 -0.111105106679983 -0.111107990090411 -0.111109834184858 -0.111110989846234 -0.111111773555768 -0.111112397518693 -0.11111294623028 -0.111113396194711 -0.111113664760433 -0.111113668391131 -0.111113371067316 -0.111112809112522 -0.111112087451239 -0.11111135140927 -0.111110745107963 -0.111110370559983 -0.111110260245078 -0.111110370982133 -0.111110600020162 -0.111110817566517 -0.111110905380375 -0.11111078979498 -0.111110459787377 -0.111109965656966 -0.111109399914043 -0.1111088672549 -0.111108453431662 -0.111108202598456 -0.111108109521624 -0.111108128012316 -0.111108191760424 -0.111108240087495
"eta.spat.mean.fds" 0.000670916532325386 0.000731136305510205 0.000845454446221599 0.00102244415485907 0.00127359104970771 0.00161136876881991 0.00204653716697561 0.00258494968484844 0.00322458286681469 0.00395373058141295 0.00475111743005322 0.00558808565847429 0.00643228375402725 0.00725181851912547 0.00801883688504938 0.00871189284416817 0.00931695815692129 0.00982730851863718 0.0102426670358479 0.0105766663274051 0.0108151417071646 0.0109845501586558 0.0110969164117659 0.0111644956063718 0.011198849658018 0.0112101693722037 0.0112068676330754 0.0111954341701903 0.0111805115873267 0.0111651313521842 0.0111510403055541 0.0111390524974609 0.011129374652407 0.0111218718994077 0.0111162592481942 0.0111122202896176 0.0111094657350069 0.0111077500336918 0.0111068649036954 0.0111066254493922 0.0111068592807995 0.0111074033482376 0.011108108398235 0.011108847858304 0.0111095268129431 0.0111100872856911 0.011110507702779 0.0111107964620326 0.011110981306023 0.0111110972448269 0.0111111759110917 0.0111112385507312 0.0111112936533497 0.0111113389011448 0.0111113660382648 0.011111366694886 0.0111113372344434 0.0111112812496425 0.0111112092028281 0.0111111356169295 0.0111110749188713 0.0111110373453556 0.0111110261904309 0.0111110371797665 0.011111060067879 0.011111081883535 0.0111110907880191 0.0111110793825248 0.0111110465246745 0.0111109972072911 0.0111109406564355 0.01111088733406 0.0111108458252813 0.0111108205690788 0.0111108110729571 0.0111108127494859 0.0111108189942264 0.0111108237576226
"mde.temp.mean.fds" 0.0599375466662577 0.0601862221568522 0.0606765602028658 0.0613945096351644 0.0623196926048212 0.0634264081259658 0.0646848453672963 0.0660624185642706 0.0675251386816437 0.0690389435269245 0.0705709115141139 0.072090283432256 0.0735692181296657 0.074983224204836 0.0763112509614216 0.0775354874338099 0.0786409909406052 0.0796153160703124 0.0804483123075555 0.0811321938332603 0.0816621101252662 0.082036091420247 0.0822558586691499 0.0823270270611135 0.082258945556282 0.0820641384776388 0.0817574182704358 0.0813548126568993 0.0808724772850037 0.0803257476318265 0.0797284354392784 0.0790924142177123 0.0784274821003621 0.0777414494417969 0.0770403773447581 0.0763288907426602 0.0756105013020692 0.0748878952307208 0.0741631630651485 0.0734379677665004 0.0727136608677713 0.0719913628768735 0.0712720243115292 0.0705564795049694 0.0698454990805304 0.0691398410176104 0.0684402961552388 0.0677477225643021 0.0670630643476937 0.0663873533057226 0.0657216953891303 0.0650672468142046 0.0644251863062514 0.0637966898209323 0.0631829124422455 0.0625849795438334 0.0620039865079689 0.0614410040732881 0.0608970852555073 0.0603732699341117 0.0598705844441706 0.0593900353940805 0.0589325988523091 0.0584992074568784 0.058090738534247 0.0577080058859845 0.057351756710453 0.0570226735829751 0.0567213800119167 0.0564484472388686 0.056204399879104 0.0559897186604017 0.0558048396286108 0.055650150327972 0.0555259842420328 0.0554326149867333 0.0553702514252518 0.0553390342806247
"dm.spat.mean.fds" -3.40786530379655 -3.37508436243671 -3.30919641628299 -3.21245292000511 -3.08811115439422 -2.94025065296647 -2.77352926174234 -2.59289264017885 -2.40326710190603 -2.20927119815188 -2.01497568370145 -1.82373056720692 -1.63806876279844 -1.45969081685685 -1.28953165597258 -1.12790405636346 -0.974702549144711 -0.829637692522057 -0.692459220588215 -0.565644383195617 -0.443769913210461 -0.330597186018602 -0.22669023805963 -0.132580362843734 -0.0485902972415453 0.0253014984258817 0.0895235949964198 0.144893010587059 0.192528843647313 0.233725247774073 0.269814566903864 0.302047074407705 0.331504685473934 0.359055626275299 0.385347885750872 0.410832809609945 0.435806938016832 0.460459946635032 0.484918656259268 0.509280590813459 0.533634482795195 0.55806857061182 0.582669899835053 0.607518874854561 0.632683089666788 0.658213331494421 0.684143067000621 0.71049116520627 0.737266464739163 0.764472272771666 0.792109018088523 0.820173933689386 0.848657567209803 0.877537828373634 0.906772940097732 0.936294918620079 0.966005043248152 0.995772275722676 1.02543491748949 1.05480514210934 1.08367557579422 1.11182692109533 1.13903573841324 1.16508184369866 1.18975521462089 1.21286266714864 1.23423473716186 1.25373310321229 1.27125852320863 1.28675872083699 1.30023510733196 1.31174685567921 1.32141083606483 1.32939637718999 1.33591471575507 1.34120416565357 1.34551318694684 1.34908432857194
"alpha.spat.mean.fds" 0.940280008576608 0.939486501394948 0.93779683652142 0.935295816119816 0.932105632064332 0.928377530791723 0.924279535931563 0.919980729194801 0.915634231751262 0.911361644677706 0.907241166078962 0.903300500494057 0.899514773171691 0.895809318512146 0.892067269237549 0.88814190164627 0.883873318536016 0.879108167486943 0.873719925361101 0.867878417477843 0.860992709038213 0.853419063303798 0.845230848973129 0.836537052223663 0.82746311804216 0.818131825804552 0.808648170550576 0.799090514080994 0.789508358503188 0.779925567390119 0.770347007721884 0.760766417002819 0.751173644930633 0.741560048032478 0.731921518322837 0.722259247000955 0.712578765495999 0.702888027969678 0.693195308474485 0.683507527115004 0.673829362018366 0.664163224337828 0.654509938783141 0.644869826572628 0.635243847169936 0.62563450889012 0.616046375988453 0.606486141124057 0.596962357894705 0.587485008879342 0.578065105951349 0.568714483914503 0.559445872220195 0.550273237381132 0.541212306518904 0.53228113053973 0.523500533976871 0.514894326329059 0.506489205549462 0.498314350867779 0.490400760954792 0.482780430025276 0.47548546174551 0.468547200584204 0.461995422238997 0.45585758357506 0.450158103367023 0.444917639560025 0.440152351020034 0.435873176907977 0.432085221063683 0.42878737221663 0.425972302746458 0.423626954535412 0.421733538491431 0.420270959494954 0.419216460490895 0.418547194152683
