"grad.rhs_ita.1" "grad.rhs_ita.2" "grad.rhs_ita.3" "grad.rhs_ita.4" "grad.rhs_ita.5" "grad.rhs_ita.6" "grad.rhs_ita.7" "grad.rhs_ita.8" "grad.rhs_ita.9" "grad.rhs_ita.10" "grad.rhs_ita.11" "grad.rhs_ita.12" "grad.rhs_ita.13" "grad.rhs_ita.14" "grad.rhs_ita.15" "grad.rhs_ita.16" "grad.rhs_ita.17" "grad.rhs_ita.18" "grad.rhs_ita.19" "grad.rhs_ita.20" "grad.rhs_ita.21" "grad.rhs_ita.22" "grad.rhs_ita.23" "grad.rhs_ita.24" "grad.rhs_ita.25" "grad.rhs_ita.26" "grad.rhs_ita.27" "grad.rhs_ita.28" "grad.rhs_ita.29" "grad.rhs_ita.30" "grad.rhs_ita.31" "grad.rhs_ita.32" "grad.rhs_ita.33" "grad.rhs_ita.34" "grad.rhs_ita.35" "grad.rhs_ita.36" "grad.rhs_ita.37" "grad.rhs_ita.38" "grad.rhs_ita.39" "grad.rhs_ita.40" "grad.rhs_ita.41" "grad.rhs_ita.42" "grad.rhs_ita.43" "grad.rhs_ita.44" "grad.rhs_ita.45" "grad.rhs_ita.46" "grad.rhs_ita.47" "grad.rhs_ita.48" "grad.rhs_ita.49" "grad.rhs_ita.50" "grad.rhs_ita.51" "grad.rhs_ita.52" "grad.rhs_ita.53" "grad.rhs_ita.54" "grad.rhs_ita.55" "grad.rhs_ita.56" "grad.rhs_ita.57" "grad.rhs_ita.58" "grad.rhs_ita.59" "grad.rhs_ita.60" "grad.rhs_ita.61" "grad.rhs_ita.62" "grad.rhs_ita.63" "grad.rhs_ita.64" "grad.rhs_ita.65" "grad.rhs_ita.66" "grad.rhs_ita.67" "grad.rhs_ita.68" "grad.rhs_ita.69" "grad.rhs_ita.70" "grad.rhs_ita.71" "grad.rhs_ita.72" "grad.rhs_ita.73" "grad.rhs_ita.74" "grad.rhs_ita.75" "grad.rhs_ita.76" "grad.rhs_ita.77" "grad.rhs_ita.78"
"1" 0.00488420996666309 0.0060040448061017 0.00738169730090741 0.00906952822147846 0.0111271198400259 0.0136208398631503 0.0166226977953671 0.0202057151206217 0.0244026200404822 0.0291768298588554 0.0344128155699205 0.0398954911818529 0.0452991421098585 0.0501953650167535 0.0541690206853573 0.0569982460290189 0.0585711405779141 0.0588716347104973 0.0579718654246055 0.0560151836080243 0.0531903709528969 0.0496881440564555 0.0457006756995536 0.041419001316321 0.0370203778278501 0.0326590357838467 0.0284605281528645 0.0245161151655888 0.0208847430615635 0.0176022370921333 0.0146845384829944 0.0121310642341999 0.00992832826184513 0.0080533568980642 0.00647663280730823 0.00516570502253271 0.00408746843954756 0.00320966855240495 0.00250197756401268 0.0019366793543306 0.00148885134885627 0.0011367554656824 0.000861995121201706 0.000649179141041895 0.000485563738507099 0.000360703061819534 0.000266127815508407 0.000195043367977917 0.00014201886707974 0.000102756261900539 7.38909765696507e-05 5.28164042946134e-05 3.75323246123402e-05 2.65128683884663e-05 1.86123998391954e-05 1.29813756537369e-05 8.99269841286907e-06 6.18569621663031e-06 4.2237213198879e-06 2.86283083088799e-06 1.92710888925084e-06 1.28906086270959e-06 8.57321372112743e-07 5.67235492012757e-07 3.73576133210987e-07 2.44999899459544e-07 1.59859953902696e-07 1.03622212521472e-07 6.66279267026232e-08 4.2432718725409e-08 2.67262113827994e-08 1.66253402386689e-08 1.02665980550595e-08 6.38686244357681e-09 4.06507783742236e-09 2.68834983500395e-09 1.8760898235372e-09 1.40309705983537e-09
"2" 0.000422715180319454 0.000534159683072936 0.000680694177544614 0.000874437290690764 0.00113198075420474 0.00147611838750135 0.00193826496634345 0.00256134222258676 0.00339604093181538 0.00449670863018542 0.00591813700503892 0.0077054077975746 0.00987821554435952 0.0124105242422706 0.0152359427924138 0.0182942587771706 0.0215147936910705 0.024816872053611 0.028116094205954 0.0313308108695494 0.0343857051765995 0.0371986746832443 0.0396888543987585 0.0417877497007901 0.0434426682494062 0.0446188985494226 0.0453004547455683 0.0454832670290885 0.0451709934626899 0.0443826241261151 0.04315171878365 0.0415242172168727 0.0395557375617815 0.0373091515926348 0.0348534345903939 0.0322579564929642 0.029588702911074 0.0269060256016115 0.0242629982266596 0.0217043791332088 0.0192660999194871 0.0169753292767539 0.0148509737778212 0.0129044157940028 0.0111404523413807 0.00955834556687138 0.00815276067727038 0.00691465184619077 0.00583278718403899 0.00489461641727725 0.00408690406436721 0.00339625275217531 0.00280950171447893 0.0023138938548449 0.00189749565830705 0.0015494562490712 0.00126001859897493 0.00102049679802457 0.000823230247376463 0.000661517829088489 0.000529544979576933 0.000422313598406161 0.000335558333653481 0.000265663315013924 0.000209582773970755 0.000164770801186339 0.000129130022999387 0.000100915181644105 7.86734706611992e-05 6.12072489700827e-05 4.75379424589815e-05 3.68750007484984e-05 2.86875277100931e-05 2.2601174028538e-05 1.82156562946162e-05 1.51716825851403e-05 1.31915834277775e-05 1.20957699593632e-05
"3" 2.92023160584421e-05 3.77112521694831e-05 4.9240514124389e-05 6.50458955061142e-05 8.69782430651821e-05 0.00011779924380389 0.000161682581680641 0.000224959112147222 0.000316326463763614 0.000447136930148463 0.000631947871900193 0.000888219480768922 0.00123486726744626 0.00168907390919228 0.00226513581706652 0.00297981066035953 0.00384933771576519 0.00488810333566108 0.00610809600951887 0.00751859236055548 0.00912564677551968 0.0109280583944143 0.0129166297099574 0.0150749692197097 0.0173795630135209 0.0198002483092711 0.0223010539189692 0.0248397962121623 0.0273679309967303 0.0298337165323862 0.0321843220256134 0.0343679116005567 0.0363357266747361 0.0380438215628407 0.0394538364491729 0.0405350368324412 0.0412657308591403 0.0416339443253532 0.0416376325765306 0.0412843914960351 0.0405898174636474 0.0395766157623836 0.038274460171379 0.0367186642937598 0.0349486636190153 0.033006440433138 0.0309353754007505 0.0287794929163228 0.0265808029377733 0.0243779077449563 0.0222051802083027 0.0200922178604194 0.0180636468221463 0.0161399509750685 0.014336795386293 0.0126645366960768 0.011128794320715 0.00973111848773229 0.00846968728544392 0.00733965645833486 0.0063337017126388 0.00544348505735259 0.0046601302744316 0.00397452023465531 0.00337754417495988 0.00286053704941719 0.0024166336573858 0.00203897558229607 0.00172017741905806 0.00145283576277202 0.00122988332475544 0.00104484499841563 0.000893455076385195 0.000773271669027931 0.000681278825411944 0.000614534098538823 0.000570808288653899 0.000549101506726107
"4" 1.08872406487584e-06 1.42968535220854e-06 1.90190232471921e-06 2.5664557527348e-06 3.51762806034448e-06 4.90353580240403e-06 6.96121128501866e-06 1.00742177254302e-05 1.4818570483748e-05 2.20303281124354e-05 3.29142752173584e-05 4.91388852987766e-05 7.28908434758556e-05 0.000106822100095579 0.000154077786696419 0.000218772403958459 0.000306000834858176 0.000421923994846496 0.000573893564171384 0.000770580434103642 0.00102206825950123 0.001339564360193 0.00173520578620803 0.00222189596302909 0.00281295893706033 0.00352169398046092 0.00436083567726853 0.0053417703148468 0.00647359526625212 0.00776241071701318 0.00921052381732307 0.0108156985824594 0.0125705202300024 0.014462116969173 0.0164728869667894 0.0185803826902654 0.020757475715892 0.0229729744639047 0.0251924606314236 0.0273792757022061 0.029494885803213 0.0314998379693219 0.0333556706606565 0.035026255443599 0.0364790348960806 0.0376861248819885 0.0386246521610357 0.0392760757490159 0.0396280968042522 0.039675386824815 0.0394196861238248 0.0388696295336315 0.0380404747933493 0.0369552534339208 0.0356429609376303 0.0341359209803674 0.0324685325912392 0.0306760764433732 0.0287936057568439 0.0268555480819406 0.0248952902393735 0.0229430830974294 0.0210253859147199 0.0191646101943666 0.0173790496503106 0.0156844524691993 0.0141025970565743 0.0126513243508785 0.011339703334287 0.0101699275006228 0.00913915691901542 0.00824127374842831 0.00747366801002779 0.0068383657770441 0.00633455229101268 0.00596060863749868 0.00571666027440788 0.0056070866105407
"5" 2.13769591592099e-08 2.79584473808688e-08 3.73175987244269e-08 5.08630107628292e-08 7.08324699726954e-08 1.00846045358922e-07 1.46870893639354e-07 2.18875015730627e-07 3.32708728936667e-07 5.13025554622644e-07 7.97995281126581e-07 1.24516783003668e-06 1.93821266477882e-06 2.99298976782589e-06 4.56776941152386e-06 6.89000076989205e-06 1.02773933681582e-05 1.51679801231831e-05 2.21608307201956e-05 3.20693596064995e-05 4.59884476001727e-05 6.53557807458015e-05 9.20306971008317e-05 0.000128389955306385 0.000177425157574212 0.000242840630565513 0.000329144117071479 0.00044173980689929 0.000587015356196644 0.000772367494584776 0.00100618821934609 0.00129778962372838 0.00165725107876446 0.00209520657358043 0.00262269307625109 0.00325078017298304 0.00399010822165714 0.00485038394158077 0.00583981862538157 0.00696453587511381 0.00822811647530529 0.00963114747295645 0.0111706709133849 0.012839803497931 0.0146274850639873 0.0165183775306746 0.0184929448741107 0.0205277366808119 0.0225958079835825 0.024667322143731 0.0267103123528287 0.0286915669666349 0.030577637317186 0.0323363098791627 0.0339375803746506 0.035354302715556 0.0365629946443619 0.0375445084021969 0.0382845357493407 0.0387742571092741 0.0390108666051954 0.0389968603665514 0.0387396366867282 0.0382510375337506 0.0375467709585436 0.0366480707364658 0.035596057224751 0.0344389321125296 0.0332215429268515 0.0319843555967097 0.0307629824178977 0.0295883439483061 0.0284971376712867 0.0275353600149597 0.0267441327804911 0.0261609691150905 0.0258229580361999 0.025770586911488
"6" 1.86188986242527e-10 2.20977880048782e-10 2.78980173490281e-10 3.72432810402241e-10 5.22628297900804e-10 7.66352601305491e-10 1.1672809939977e-09 1.8358171834137e-09 2.96132117957047e-09 4.8644515965254e-09 8.07906083913445e-09 1.34695416268845e-08 2.23818524402367e-08 3.68030214783902e-08 5.96127020410165e-08 9.521047113051e-08 1.50193158272402e-07 2.34403487166193e-07 3.62539577219126e-07 5.56612776525395e-07 8.49599301013166e-07 1.28956152746264e-06 1.94573925706659e-06 2.91734761391189e-06 4.34509222253961e-06 6.42633572722237e-06 9.43470136452943e-06 1.37455308299866e-05 1.98684016373024e-05 2.84861847175765e-05 4.05020931100961e-05 5.70945113534609e-05 7.97786805031042e-05 0.000110475949299521 0.000151601628095717 0.000206147803777914 0.00027776388720933 0.00037083316736181 0.000490535653114477 0.000642888827232059 0.000834779512026106 0.00107396180743859 0.00136898335835524 0.00172906333166698 0.00216390483474607 0.00268343489831268 0.00329750164113396 0.00401558926498499 0.00484636271483369 0.00579718246355391 0.00687360400348145 0.00807886942723245 0.00941345550227067 0.0108751904147473 0.0124591037239141 0.0141570253834917 0.0159575289024984 0.0178459975961466 0.0198048119672902 0.0218136510502757 0.0238499004997805 0.0258891715129019 0.0279058916773869 0.0298739482930738 0.0317673592549586 0.0335613432632538 0.0352359261519632 0.0367754207249978 0.0381674187235211 0.0394029454961048 0.040476497354298 0.0413862036049653 0.0421462353277105 0.0427936217349434 0.0433709037842832 0.0439237275593026 0.0445003379413353 0.045151579468532
"7" 3.60497874551834e-12 3.49663216289259e-12 3.56409133114034e-12 3.83295318848031e-12 4.36654759060056e-12 5.2905040301021e-12 6.84453971430098e-12 9.48647996090803e-12 1.40072364585781e-11 2.17792827463763e-11 3.52440511355835e-11 5.86660163475751e-11 9.92780622546611e-11 1.68811481478148e-10 2.86041836890118e-10 4.82475017861457e-10 8.09986365287516e-10 1.3532502007238e-09 2.24965497214616e-09 3.7207549197017e-09 6.12146977872233e-09 1.00152685905608e-08 1.62890961868465e-08 2.6327157503588e-08 4.22696501050587e-08 6.73932083784763e-08 1.06662787198831e-07 1.67547051222837e-07 2.61221295374375e-07 4.04256704770829e-07 6.2102871434544e-07 9.47110956378989e-07 1.43401503330242e-06 2.1556716561839e-06 3.21675674043007e-06 4.76393621095819e-06 7.00053396450498e-06 1.0205148044079e-05 1.47548828669762e-05 2.11537385843672e-05 3.00682025396027e-05 4.23699826473264e-05 5.918372591603e-05 8.19411828753668e-05 0.000112439984520189 0.000152904638669283 0.000206048513350507 0.000275138084976687 0.00036404158802561 0.000477262179946341 0.000619948247339937 0.000797871427999566 0.00101736504214383 0.00128523745175032 0.00160862560649534 0.00199477597030348 0.00245077434141394 0.00298321854241174 0.00359783988974796 0.00429902774265735 0.00508925652862854 0.00596865532361523 0.00693456309679343 0.00798113281297627 0.00909903184314985 0.0102752809026082 0.0114933042690127 0.0127331135824254 0.0139716810108609 0.0151835345277485 0.0163415446121082 0.017418030718909 0.0183943603425444 0.0192683619286613 0.0200446401681771 0.0207330881195478 0.0213481811298126 0.0219082564979127
"8" 2.29664098562457e-16 5.35891242895845e-16 1.09467135947734e-15 2.02361672171754e-15 3.49964534048094e-15 5.85308651124197e-15 9.78644248694047e-15 1.68755830128361e-14 3.01711086582476e-14 5.52478406441794e-14 1.02324325902786e-13 1.89291018958523e-13 3.45395477763396e-13 6.1390569556392e-13 1.05579975096992e-12 1.76696761689083e-12 2.89868692292708e-12 4.69524502926698e-12 7.56411259256761e-12 1.22084077016425e-11 1.98707998217262e-11 3.26546406674493e-11 5.41108594113295e-11 9.02952204947362e-11 1.51536324703102e-10 2.55429609647752e-10 4.31873250055642e-10 7.31241129925891e-10 1.23728860256937e-09 2.08765423248901e-09 3.50505103752458e-09 5.84318183389228e-09 9.65149960248584e-09 1.5767953386054e-08 2.54856030118759e-08 4.07870758000196e-08 6.46885453440596e-08 1.01760316458306e-07 1.5890766652325e-07 2.46537611651427e-07 3.80069197669912e-07 5.81922527640704e-07 8.84423001648355e-07 1.33357242584453e-06 1.99390407402129e-06 2.95455689034839e-06 4.33697012996947e-06 6.30535058060773e-06 9.07835661131782e-06 1.29427597560899e-05 1.82689947854332e-05 2.55280113039226e-05 3.53085479785299e-05 4.83329207696835e-05 6.54699496164032e-05 8.77429330180893e-05 0.000116329230167962 0.000152548350772805 0.000197835132048345 0.000253683209579296 0.000321546768954533 0.000402741834364029 0.000498316827728283 0.000608900913939045 0.000734540945967906 0.000874549296481547 0.00102744278157259 0.00119085529905508 0.00136148032533596 0.00153510400361968 0.00170671626621473 0.00187072860690322 0.00202264825393583 0.00216059786463481 0.00228397562598162 0.00239327647920794 0.00248999289175344 0.00257648198679521
"9" 1.72581771366633e-16 1.72346840630021e-16 1.72101818897729e-16 1.7184038278661e-16 1.71556251370902e-16 1.71243193372278e-16 1.70895036620283e-16 1.70505861968353e-16 1.70072100089147e-16 1.69591788856755e-16 1.69063058390508e-16 1.68484107375851e-16 1.67853208982063e-16 1.67168722924469e-16 1.6643012047374e-16 5.40903880529503e-16 2.23546717944912e-15 6.78885630243412e-15 1.61668860034522e-14 3.2216540430133e-14 5.71395487647391e-14 9.35293968796781e-14 1.44795001369381e-13 2.17253125450983e-13 3.23741552365801e-13 4.90979913341809e-13 7.76341927253271e-13 1.29282550079229e-12 2.24409745672412e-12 4.01220193255916e-12 7.30108573119062e-12 1.33622637538845e-11 2.43043991404377e-11 4.34948496855136e-11 7.65222490297405e-11 1.32623859872169e-10 2.2689613706939e-10 3.83964874131768e-10 6.44024367897841e-10 1.07281277078344e-09 1.77619664062269e-09 2.92151752957837e-09 4.77153512391754e-09 7.7343133631759e-09 1.24360152803671e-08 1.98252380583977e-08 3.13202474235524e-08 4.90146833008063e-08 7.59543599931557e-08 1.16502690574208e-07 1.76810148393356e-07 2.65398006522719e-07 3.9385931123266e-07 5.77701388153739e-07 8.37283515182871e-07 1.19877299008554e-06 1.69506001651601e-06 2.36649382592525e-06 3.26126485802133e-06 4.43482842511107e-06 5.94763002348699e-06 7.86217825374021e-06 1.02383292766676e-05 1.31267741458453e-05 1.6560944204772e-05 2.05489752866874e-05 2.50751823176389e-05 3.00959303477184e-05 3.55338782313018e-05 4.12771808459785e-05 4.71814677451687e-05 5.307562932158e-05 5.88179459161381e-05 6.43539349123879e-05 6.96775753446524e-05 7.48282759557802e-05 7.98905393704978e-05 8.49931625287457e-05
"1" 0.00551610380468531 0.00600383346645539 0.00692530564821229 0.00834316305671303 0.010338204738244 0.0129914794050861 0.0163600282150102 0.0204494268312623 0.0251898741034249 0.0304241819096626 0.0359138119562711 0.0413633884941243 0.0464576466622664 0.0509009833322004 0.0544503208023041 0.0569358381086616 0.0582687274300795 0.0584383652411081 0.0575024673880251 0.0556192367769479 0.0528178564005035 0.0493592920834844 0.0454271983080709 0.0412034623541346 0.0368572944890232 0.0325370300099638 0.0283649193374448 0.0244348384590259 0.0208125529149035 0.0175379631615213 0.014628670296195 0.0120842211065443 0.00989049057026121 0.00802380027684219 0.0064545183649179 0.00515001636641958 0.00407695845324982 0.00320296628577321 0.00249774147278974 0.00193374400265134 0.00148652585594714 0.00113481046996027 0.000860395484666317 0.000647941491280235 0.000484695323644055 0.000360183851051035 0.000265903690506906 0.000195023809786655 0.00014211147731014 0.000102887168261687 7.4010566968523e-05 5.28974325790789e-05 3.75655681910423e-05 2.65072402228526e-05 1.85849608324432e-05 1.29474328616948e-05 8.96255647097144e-06 6.16462789043683e-06 4.21316366461052e-06 2.86111581226355e-06 1.93057545203168e-06 1.29437605150332e-06 8.62291710764712e-07 5.70775575836174e-07 3.75397281656902e-07 2.45317505222236e-07 1.59285082188138e-07 1.02761337477237e-07 6.58712311037194e-08 4.19555009463075e-08 2.65558017128684e-08 1.67091130274761e-08 1.04612012918078e-08 6.53401195643312e-09 4.10047104320573e-09 2.63384914090067e-09 1.80883375025782e-09 1.43875108329133e-09
