"grad.rhs_dn.1" "grad.rhs_dn.2" "grad.rhs_dn.3" "grad.rhs_dn.4" "grad.rhs_dn.5" "grad.rhs_dn.6" "grad.rhs_dn.7" "grad.rhs_dn.8" "grad.rhs_dn.9" "grad.rhs_dn.10" "grad.rhs_dn.11" "grad.rhs_dn.12" "grad.rhs_dn.13" "grad.rhs_dn.14" "grad.rhs_dn.15" "grad.rhs_dn.16" "grad.rhs_dn.17" "grad.rhs_dn.18" "grad.rhs_dn.19" "grad.rhs_dn.20" "grad.rhs_dn.21" "grad.rhs_dn.22" "grad.rhs_dn.23" "grad.rhs_dn.24" "grad.rhs_dn.25" "grad.rhs_dn.26" "grad.rhs_dn.27" "grad.rhs_dn.28" "grad.rhs_dn.29" "grad.rhs_dn.30" "grad.rhs_dn.31" "grad.rhs_dn.32" "grad.rhs_dn.33" "grad.rhs_dn.34" "grad.rhs_dn.35" "grad.rhs_dn.36" "grad.rhs_dn.37" "grad.rhs_dn.38" "grad.rhs_dn.39" "grad.rhs_dn.40" "grad.rhs_dn.41" "grad.rhs_dn.42" "grad.rhs_dn.43" "grad.rhs_dn.44" "grad.rhs_dn.45" "grad.rhs_dn.46" "grad.rhs_dn.47" "grad.rhs_dn.48" "grad.rhs_dn.49" "grad.rhs_dn.50" "grad.rhs_dn.51" "grad.rhs_dn.52" "grad.rhs_dn.53" "grad.rhs_dn.54" "grad.rhs_dn.55" "grad.rhs_dn.56" "grad.rhs_dn.57" "grad.rhs_dn.58" "grad.rhs_dn.59" "grad.rhs_dn.60" "grad.rhs_dn.61" "grad.rhs_dn.62" "grad.rhs_dn.63" "grad.rhs_dn.64" "grad.rhs_dn.65" "grad.rhs_dn.66" "grad.rhs_dn.67" "grad.rhs_dn.68" "grad.rhs_dn.69" "grad.rhs_dn.70" "grad.rhs_dn.71" "grad.rhs_dn.72" "grad.rhs_dn.73" "grad.rhs_dn.74" "grad.rhs_dn.75" "grad.rhs_dn.76" "grad.rhs_dn.77" "grad.rhs_dn.78"
"1" -28.8170234916177 -41.5952901072179 -28.8981040401812 -16.3659861132167 -4.78311227723731 5.48672160495835 14.0249386162403 16.4531446790496 15.33685591992 14.4027992708353 13.6962215674875 13.1981775652439 12.8782085569836 9.85742097879002 0.801164018771848 -9.08894702508892 -18.8802364624623 -28.0669697998144 -35.828926385336 -40.3254663197778 -35.7450134275115 -26.7659909292996 -17.2855884883326 -8.05179200497975 0.328584091304913 7.42200771513909 13.1883444104754 17.4422516008391 19.8478907830377 20.6622645576682 20.2387999568065 18.9377941421094 17.0695604701572 14.8726479158295 12.6678483282303 10.5973512916384 8.72195899004347 7.07273249035697 5.65749701568695 4.45951599486491 3.4741223880334 2.68649176419483 2.06257159630934 1.57229886239202 1.19009528176782 0.894688216919978 0.668269466030243 0.495342683328938 0.364350559839593 0.266016148272371 0.192833664170919 0.138804468228404 0.0991219481168987 0.0703624148084888 0.0497323681099621 0.034988495716773 0.0244929932730852 0.0170543105408586 0.0118196227870379 0.00815064689322262 0.0055680238060416 0.00376856362395524 0.00252896998762104 0.00168391959894742 0.001112666725774 0.00072774354198014 0.000474915423235555 0.000310296711531237 0.000202638369180488 0.000132027307074088 8.5691114811729e-05 5.61855196654992e-05 3.65516795711523e-05 2.26007655761008e-05 1.35076088222968e-05 7.95568758636736e-06 4.71518535715418e-06 2.33480487070184e-06
"2" -12.2123748852301 -20.3564350445809 -18.91627485112 -17.3180479490156 -15.605469262796 -13.8203506969579 -11.9515654964963 -9.47869246875527 -6.69775461414148 -4.07999034831036 -1.65954210632637 0.549844773141248 2.542551236423 3.89437899401778 4.20302768921704 4.3586528160633 4.48803581635305 4.59402427312692 4.6794373191118 4.52369594363253 2.70255075427826 0.293996267004379 -1.88216221449001 -3.81716759997068 -5.49511023768456 -6.89774019344217 -8.29622467207127 -9.72664148325249 -10.6721861439264 -11.0444814866532 -10.805134075051 -9.93671643025943 -8.19656116074142 -4.82372343547909 -1.16840028765078 2.20319649151356 5.19722049197721 7.74522438942544 9.81756545612133 11.624234415673 12.9983812250562 13.6755547012743 13.7598034732097 13.3763128181505 12.6469813011612 11.6733702564444 10.5423438876722 9.37046922041401 8.21660904453278 7.11707294576954 6.09645656457006 5.16829613305093 4.32921477398913 3.59521431562127 2.96993667948196 2.44104731560409 1.99655735720437 1.62529105922151 1.31702540555004 1.06251671460404 0.85349386183351 0.682725360236889 0.543915439851336 0.431632001325435 0.341253235647611 0.26893333775765 0.211163593381878 0.165164784698557 0.128714868757995 0.0999633163981485 0.0774446108532224 0.062289818798923 0.0514873283716375 0.0405827102539995 0.0311458845382342 0.0240007415936328 0.019363204524941 0.0104087962458019
"3" -0.846163716311631 -2.00420885600916 -2.73460621232023 -3.4562305855734 -4.16540374761381 -4.85763204241146 -5.51420158156952 -5.97614531525069 -6.29605368089752 -6.58291687222209 -6.8351085524776 -7.04886002292582 -7.21927101241771 -7.13642744621529 -6.58296734446652 -5.96638029659146 -5.34973950447265 -4.73798495565137 -4.13561923047239 -3.51846748800438 -2.70902001105306 -1.84557841630158 -1.03570602242514 -0.282377161224602 0.413191016016353 1.04298051538239 1.23057607885838 0.857994802920512 0.484797664617937 0.156106358551807 -0.128650068661988 -0.36984045179771 -0.756749062400643 -1.98363021909712 -3.29750756069106 -4.38285092054162 -5.22649318795128 -5.81403783519853 -6.13370083059628 -6.21258503911297 -6.03419855406247 -5.55383754901349 -4.77831526830174 -3.72696233048593 -2.43053221383283 -0.730425086676526 1.63696767040222 3.89408393341205 5.84453045203675 7.46319157724915 8.73962175307817 9.69362821554579 10.5004781327286 11.0089114113319 11.1059901137043 10.869681483784 10.3794638960285 9.70866110622186 8.90776027235555 8.02901228586919 7.1530553225829 6.30898989923867 5.5136190445803 4.77803029538143 4.11451954179702 3.5536369402148 3.04540503038194 2.57543697483314 2.1536354021871 1.78400577754956 1.46757877687478 1.25431473286955 1.11696199223716 0.965948848615058 0.826372866016819 0.719640226269339 0.660759688013695 0.37756282061782
"4" 0.175108245633507 0.138034835530619 -0.0948015026600681 -0.327362721824929 -0.559569967546039 -0.791257663944213 -1.02347743866094 -1.27082670088046 -1.52757586449464 -1.78229857345488 -2.03409716547632 -2.28218334860701 -2.52609467374811 -2.83632776135373 -3.29090303749987 -3.75304925733864 -4.2004128868124 -4.62991316879658 -5.03818960230942 -5.40095769803402 -5.57852873757324 -5.65842552624568 -5.71329473233418 -5.7422134516183 -5.74399355072292 -5.71339291458304 -5.44558837146521 -4.86538229067391 -4.26917270364233 -3.68539652429417 -3.11768464585655 -2.56918343280514 -2.06245284931385 -1.67426841259214 -1.33040708263287 -1.00029711767486 -0.684828463786579 -0.384732405532073 -0.116845067377382 -0.227913037439323 -0.669134346927838 -1.06162800050378 -1.38818744099598 -1.64809972575093 -1.84068089521707 -2.17895097937967 -3.08623695473578 -3.92153311411895 -4.52582519385918 -4.88993090672259 -5.0064818206337 -4.85700921601117 -4.28459762055621 -3.40338659693837 -2.37378995647151 -1.22336757287638 0.0179319823315127 1.31701664054639 2.82514511885515 4.61015297731794 6.15880910799141 7.39971254298031 8.33732858453233 8.98587468480004 9.45255063595011 10.2160463439211 10.6638806357799 10.5618539763562 10.0703527043726 9.33008761214888 8.46347841889938 7.92721856155977 7.71417009898727 7.27802363967041 6.78632522948363 6.41666934033271 6.32277449327613 3.73616912456537
"5" 0.0380838686219525 0.0436465432454698 0.0119154390148406 -0.0198089736093809 -0.0515264940451854 -0.0832353089767739 -0.115405199375938 -0.153459026772286 -0.195491380048945 -0.237558896780738 -0.279570598016301 -0.321509033255233 -0.36353865108457 -0.436916041465356 -0.576815975000818 -0.72480759360151 -0.872206550820662 -1.01882274462126 -1.16443159982796 -1.32494203707963 -1.6075973582588 -1.94449480163054 -2.27743160419062 -2.60493757162925 -2.9256833965704 -3.2386292060426 -3.56429651480797 -3.91041316170353 -4.24411631103074 -4.56037162395053 -4.8565937695438 -5.13009338683511 -5.3413050933009 -5.34562298113264 -5.2739976489993 -5.18348204294727 -5.07411210095127 -4.94602387453602 -4.79124493952487 -4.43284046559953 -3.88784832445646 -3.34698316265877 -2.82172117016053 -2.31475873883947 -1.82839673590867 -1.433875447666 -1.2768045966878 -1.16130154731355 -1.04024027522255 -0.914023832628756 -0.783087461410787 -0.670766922784948 -0.83633055566741 -1.15426357673925 -1.41484646478362 -1.61340730840827 -1.74947243491975 -1.82390343268866 -2.03565546546598 -2.57031086126977 -2.99608719514943 -3.24907174383702 -3.32709861264506 -3.2300507267279 -2.74456032127831 -0.548574636156739 2.06513483057642 4.20985189283891 5.90234060848476 7.18144453511106 8.12049655674265 9.90164194210235 12.7543661149288 14.9948401990508 16.7775741404311 18.4348380422918 20.3252740837738 12.6401502509649
"6" 0.00412316833569704 0.00457892070072052 0.000935007924197651 -0.00270887628169114 -0.00635272663989417 -0.00999651677208191 -0.0137173830028918 -0.0184007302816354 -0.0237373531087464 -0.0290859010471869 -0.0344336943145769 -0.0397804606521883 -0.0451469087490475 -0.0540946388000911 -0.0706412457507399 -0.0881523627937102 -0.105655167919036 -0.123146941018599 -0.140624471663309 -0.162038064055525 -0.213747102450452 -0.279428215462457 -0.345091074567886 -0.410626415687167 -0.475994406291364 -0.542095001983584 -0.655461608912994 -0.837118867654983 -1.02330044019042 -1.20833481987759 -1.39188688990649 -1.57356755956213 -1.77414413037207 -2.07637491089115 -2.40611426825022 -2.72967014415389 -3.04564049603327 -3.35247523251751 -3.64764417438385 -3.91107899910437 -4.14143333791865 -4.35550275297999 -4.5523316632017 -4.73010300745017 -4.8869729328715 -4.93035868916718 -4.66252578702256 -4.32985203916841 -3.99508694174999 -3.66014706436795 -3.32683122875014 -2.97577973671703 -2.36654751921139 -1.60339939675215 -0.877008486478478 -0.192854273823666 0.448297602078661 1.04686130802608 1.65926671678513 2.34580103567767 2.99727834607866 3.60149483906833 4.16341782696944 4.68875494701358 5.14183597370639 5.24910624965572 5.20709929727195 5.17568529131817 5.15661206902824 5.15075316031948 5.15461819572148 4.94301170529346 4.4147462472027 3.88512594520975 3.37655442014662 2.88452726497165 2.40521797530068 1.19468154545721
"7" -0.00257372700116054 -0.0040608747485571 -0.00346931505964676 -0.00287775006596913 -0.00228618280238324 -0.00169461569400475 -0.00114276416994175 -0.00108623765890048 -0.00136601439235795 -0.00165219544193529 -0.00193837249076467 -0.00222454477943845 -0.00251445131802841 -0.0034416921815541 -0.00572118709835001 -0.00817325630697363 -0.0106252371069664 -0.0130770925187789 -0.0155287760051344 -0.0183183690453002 -0.0237010260138277 -0.0302833537399372 -0.0368711860143671 -0.0434576427396343 -0.0500422997449939 -0.0567635410147815 -0.0704595981768983 -0.0942503266485089 -0.118820082488628 -0.143374087713863 -0.167907178068124 -0.1924132246924 -0.223790082720285 -0.289254580859142 -0.365145070962007 -0.440884475165859 -0.516420669014364 -0.591695393010215 -0.668596804003311 -0.790027053845077 -0.955685801277147 -1.12225602728543 -1.28749971637396 -1.45109190500604 -1.61266215429318 -1.76219607982775 -1.87788513528102 -1.98441929479658 -2.08776372933657 -2.18754718844685 -2.28338580609548 -2.35344278630242 -2.14644536621863 -1.75287334728754 -1.36107338129869 -0.975817288643435 -0.597843155726885 -0.226768810662723 0.296526663625577 1.15258171421163 2.03499352691112 2.90055943160577 3.75306066165846 4.59757079375449 5.33366597012407 5.24095357855227 4.76971571417275 4.30995847677774 3.86034116001216 3.41760778186779 2.96999718141688 2.05636724078867 0.44670604411515 -1.23362438207074 -2.92850939033476 -4.63180480414508 -6.33234374098379 -4.32536556911643
"8" -0.000219399767886319 -0.000353516808327958 -0.00031336646867719 -0.000273216113782837 -0.000233065657726517 -0.000192915153167883 -0.000158260122839815 -0.000192147441923973 -0.000272572224787382 -0.000353883641023733 -0.000435195036473379 -0.000516506237913772 -0.000597793249171863 -0.000674985147759877 -0.000743488416779625 -0.000810882115007905 -0.000878275350385538 -0.000945668002349631 -0.00101305997666712 -0.00112020579669636 -0.00153225829113435 -0.00208543377729975 -0.002639370551617 -0.00319329918031719 -0.00374721718701077 -0.00431302258824928 -0.00547680422957297 -0.00750622174293869 -0.00960331020068428 -0.0117002950824328 -0.0137971406239641 -0.0158938039838779 -0.0183883715734829 -0.0228514082940436 -0.0279213217298901 -0.0329905588661097 -0.0380586984531825 -0.0431254518621571 -0.0484035953476025 -0.0585807407125838 -0.0736547123941536 -0.0889350657257215 -0.104206691416618 -0.119467223346621 -0.134714461234618 -0.151829308561997 -0.175028647147139 -0.199430672995618 -0.223792578584195 -0.248106067751549 -0.27236189836387 -0.294193564830732 -0.285853733941754 -0.256707661125654 -0.227169620882185 -0.197665146340346 -0.168204263298296 -0.138612274010758 -0.0753780565155078 0.0604759827249768 0.205485661518473 0.350176829978959 0.494614481789641 0.63889737873412 0.76673837771 0.766118783225322 0.70516838776966 0.644111215255671 0.583236407337692 0.522483425308797 0.46013705007616 0.310603824599032 0.0323823766209863 -0.25661957140166 -0.546060598336175 -0.83575335643671 -1.12537528890125 -0.764618296294124
"9" -0.000119316355835508 -0.00018828077514943 -0.000160886743442834 -0.000133492661848145 -0.000106098591339698 -7.8704520831252e-05 -5.18292837252687e-05 -3.14256520770329e-05 -1.5415950307851e-05 5.10061412661855e-07 1.64360398744456e-05 3.23620405087155e-05 4.82006870909935e-05 4.91595778244758e-05 1.85471487905708e-05 -1.60956631118925e-05 -5.07384791716969e-05 -8.53813284902305e-05 -0.000120024114062867 -0.00015227995113487 -0.000166228117509437 -0.000171702609639279 -0.000177131007942144 -0.000182559396544546 -0.000187987758817121 -0.000193532807954977 -0.000204942554490328 -0.00022484225403252 -0.000245406252343594 -0.000265970228482182 -0.000286534145032213 -0.000307097953491375 -0.000366695515989557 -0.000619319707986676 -0.000931503228801311 -0.0012437024186347 -0.00155589969470538 -0.00186809437798097 -0.00218438143978195 -0.00259486802179221 -0.00309955163237863 -0.00360832117484011 -0.00411707807621298 -0.0046258191949331 -0.00513452512730361 -0.0055879019196976 -0.00586201508237871 -0.0060998590438881 -0.00633767750426695 -0.00657546813817578 -0.00681322848446864 -0.00704594154146387 -0.00721454377514763 -0.00733885043283422 -0.00746224308105647 -0.00758560120394636 -0.00770892334504869 -0.00782341223238503 -0.00631994391942148 -0.00132110225079707 0.00413306155347426 0.00958678322590134 0.0150401227070287 0.0204931876193322 0.0254377234955163 0.0263998856282681 0.0254853882334314 0.0245601996247291 0.0236352972642078 0.0227106454361496 0.0217079370019477 0.016597175337751 0.00543536625189511 -0.00621231782948617 -0.0178607522347249 -0.0295097123994965 -0.0411587559854754 -0.0284046505244195
"1" -24.6998378804049 -29.3801898761608 -24.5678975513082 -17.7714837388253 -9.62337064786389 -0.957490800647637 7.27416858121434 14.1587439318565 18.9763588962902 21.2807908070681 20.8931625974103 17.8520949580754 12.3788020563212 4.88568500252928 -3.98823205173237 -13.3608023109527 -22.1548681645591 -29.2315547904406 -24.2761827890352 -45.7630480640977 -31.2879139277032 -25.8830309687071 -18.2134770083382 -9.41275382662803 -0.638211693105088 7.15007068078398 13.3193640726432 17.5933176301215 20.0017528538004 20.7875942017412 20.3057690957283 18.93795227794 17.0339375915271 14.8800454293806 12.6890693009518 10.604354552 8.7112547680668 7.05099389216427 5.63388134516498 4.45038210725923 3.47959223829357 2.69526665722744 2.06981504906431 1.57674859707334 1.19202120763504 0.894627057725668 0.666727429023509 0.493501000036368 0.362848978985321 0.265039780212492 0.19234497817564 0.138695947646624 0.0993760510053141 0.0707541253475906 0.0500595885814126 0.0351964594200402 0.0245920967324753 0.0170759211719943 0.0117833996513311 0.0080809014303243 0.00550751522203213 0.00373045197192374 0.00251118932984295 0.00168000831257097 0.00111701361932525 0.000738110252119789 0.000484730631511417 0.000316372146162172 0.000205220867529479 0.000132309651736757 8.47947665764039e-05 5.40408719525978e-05 3.42853675514641e-05 2.17147825997524e-05 1.38322405764254e-05 9.02958891633732e-06 6.30339788605483e-06 5.07300957240346e-06
