"grad.rhs_r.1" "grad.rhs_r.2" "grad.rhs_r.3" "grad.rhs_r.4" "grad.rhs_r.5" "grad.rhs_r.6" "grad.rhs_r.7" "grad.rhs_r.8" "grad.rhs_r.9" "grad.rhs_r.10" "grad.rhs_r.11" "grad.rhs_r.12" "grad.rhs_r.13" "grad.rhs_r.14" "grad.rhs_r.15" "grad.rhs_r.16" "grad.rhs_r.17" "grad.rhs_r.18" "grad.rhs_r.19" "grad.rhs_r.20" "grad.rhs_r.21" "grad.rhs_r.22" "grad.rhs_r.23" "grad.rhs_r.24" "grad.rhs_r.25" "grad.rhs_r.26" "grad.rhs_r.27" "grad.rhs_r.28" "grad.rhs_r.29" "grad.rhs_r.30" "grad.rhs_r.31" "grad.rhs_r.32" "grad.rhs_r.33" "grad.rhs_r.34" "grad.rhs_r.35" "grad.rhs_r.36" "grad.rhs_r.37" "grad.rhs_r.38" "grad.rhs_r.39" "grad.rhs_r.40" "grad.rhs_r.41" "grad.rhs_r.42" "grad.rhs_r.43" "grad.rhs_r.44" "grad.rhs_r.45" "grad.rhs_r.46" "grad.rhs_r.47" "grad.rhs_r.48" "grad.rhs_r.49" "grad.rhs_r.50" "grad.rhs_r.51" "grad.rhs_r.52" "grad.rhs_r.53" "grad.rhs_r.54" "grad.rhs_r.55" "grad.rhs_r.56" "grad.rhs_r.57" "grad.rhs_r.58" "grad.rhs_r.59" "grad.rhs_r.60" "grad.rhs_r.61" "grad.rhs_r.62" "grad.rhs_r.63" "grad.rhs_r.64" "grad.rhs_r.65" "grad.rhs_r.66" "grad.rhs_r.67" "grad.rhs_r.68" "grad.rhs_r.69" "grad.rhs_r.70" "grad.rhs_r.71" "grad.rhs_r.72" "grad.rhs_r.73" "grad.rhs_r.74" "grad.rhs_r.75" "grad.rhs_r.76" "grad.rhs_r.77" "grad.rhs_r.78"
"1" 0.235396624910396 0.233179654569297 0.231137057455594 0.228642180285495 0.225081021346248 0.219975541031416 0.212994171533177 0.20388328457371 0.192449024413736 0.178511313032216 0.16190465275522 0.142567461105367 0.120653536985911 0.0966542543854812 0.0713530519350253 0.0456389247718067 0.0207144760667267 -0.0019608081404796 -0.0208713557007469 -0.0347333086698306 -0.0428533386763399 -0.0456064278464024 -0.044075664874004 -0.0396004596963945 -0.0335142020779153 -0.0269520657879718 -0.0207463577507169 -0.0153790391917907 -0.011022939299174 -0.00766435502226694 -0.00518488705628789 -0.00342261097706878 -0.00221236165471025 -0.00140625698537773 -0.00087989188322919 -0.000541509876854722 -0.000327375769752183 -0.000194227314562522 -0.000113196003157842 -6.52226294581968e-05 -3.73725473232531e-05 -2.12656482384873e-05 -1.19817590473619e-05 -6.66022622045441e-06 -3.64023295084485e-06 -1.95567256606897e-06 -1.03682229078796e-06 -5.40798897960597e-07 -2.75328107931772e-07 -1.35140007020714e-07 -6.27272982378839e-08 -2.66815954167035e-08 -9.81682528336969e-09 -2.53566634847618e-09 2.58205891724756e-10 1.07190594597302e-09 1.09632959109267e-09 8.68517543578572e-10 6.10215816111557e-10 3.9746408796756e-10 2.44262142465602e-10 1.42702079167982e-10 7.9438324313481e-11 4.20947935843548e-11 2.11722806154479e-11 1.0074835741635e-11 4.49398767004021e-12 1.86037802109131e-12 7.26753123397765e-13 3.05740316709019e-13 1.8856246888461e-13 1.77012820359648e-13 1.84953642447533e-13 1.85131660415785e-13 1.76363807349987e-13 1.64127622283294e-13 1.53544488910276e-13 1.4821711642586e-13
"2" 0.0747371620806207 0.0755093894876184 0.0788437921633659 0.0844201698157686 0.0918384306057479 0.100633991319769 0.110289371562125 0.120235811202295 0.129824474982785 0.138396963825874 0.145355513709745 0.150198725744316 0.152571166418346 0.152329594462079 0.149549468371553 0.144365061795635 0.13695124876951 0.127517405182103 0.116290454055797 0.103495965656047 0.0893645883062141 0.0742966150410392 0.0587746903260533 0.0432741949397015 0.0282515461625473 0.0141280527794338 0.00127228745705602 -0.00996678544940554 -0.0192529342398861 -0.0263539655357926 -0.0311670948629472 -0.0337289397331551 -0.0342129199235699 -0.0329302733638854 -0.0303464536710317 -0.026937783293128 -0.0231247929619952 -0.0192515665332519 -0.015576578213624 -0.0122735061099783 -0.00943828794571986 -0.00709774464457045 -0.00522889952864082 -0.00377994424345482 -0.00268626625295214 -0.00188140821290245 -0.0013023442601192 -0.000891618321634998 -0.000603690096763354 -0.000404182948133558 -0.000267669822858935 -0.000175630114615716 -0.000114662837874075 -7.46260508259371e-05 -4.83304916869902e-05 -3.10781443814286e-05 -1.98051117721969e-05 -1.2505417081077e-05 -7.85518441349947e-06 -4.94030921110437e-06 -3.10826348742946e-06 -1.9499432149011e-06 -1.2144850344159e-06 -7.47396259009113e-07 -4.52599275216375e-07 -2.69098771524566e-07 -1.5577693361598e-07 -8.62725867397726e-08 -4.43480261243246e-08 -1.986292989176e-08 -6.38257006937843e-09 2.31153739342361e-10 2.41798038862809e-09 1.67792151078896e-09 -8.80394979848472e-10 -4.66719600929685e-09 -9.62004023983785e-09 -1.62319536625348e-08
"3" 0.0116607997479507 0.0127416540008451 0.0141220220229464 0.0159081149610878 0.0181999968898662 0.021088780236887 0.0246528002020293 0.0289505418204887 0.0339944144956229 0.0397571195244134 0.0461850854704995 0.053197853264658 0.0606913207146415 0.0685475415511202 0.0766114752438078 0.0846488297630097 0.0924165462007834 0.0996778306629817 0.106206172829463 0.111788229264041 0.116224116864184 0.119326101922815 0.120941124651989 0.120960816668569 0.119322016791011 0.116005562944645 0.11103426362308 0.104505740163747 0.0965997085241459 0.0875210428295381 0.0774932799484303 0.0667550632885487 0.0555551829339152 0.0441609120360201 0.0329031199168526 0.0221101104070489 0.0120757727368032 0.00305021042220521 -0.00476953882031944 -0.0112469194560496 -0.0163014144345736 -0.0199114051073968 -0.0221232769114497 -0.0230465229807644 -0.0228439444055357 -0.0217180614941165 -0.0199055480735499 -0.0176705713177184 -0.0152442459003438 -0.0128099112390473 -0.0105027713939651 -0.0084132397636637 -0.00659295561897132 -0.00506239313237489 -0.00381505946298662 -0.00282593904819722 -0.00206068879493703 -0.00148216266530576 -0.00105456665020214 -0.000744425870162542 -0.000521468006202024 -0.000362269424556147 -0.000249363382252957 -0.000169908740762037 -0.000114556733019458 -7.65044358959306e-05 -5.05983787242453e-05 -3.30595297462885e-05 -2.12537533422615e-05 -1.33766394444715e-05 -8.2029660100878e-06 -4.90366045703799e-06 -2.97791397166166e-06 -2.10835082382904e-06 -2.03621669832688e-06 -2.60558566848214e-06 -3.78670627755819e-06 -5.70335337349061e-06
"4" 0.00162855186641913 0.00192197054480221 0.00219284095982449 0.00247815417635457 0.00281467581984421 0.00323884876582078 0.00378661146262457 0.00449331357114628 0.00539577090629955 0.00653097143756816 0.00793371360179689 0.00963589811381183 0.0116658901176418 0.0140481888700786 0.0168138034847016 0.0200099294166562 0.0236773832628857 0.0278457690019678 0.03253145060598 0.0377354043735715 0.0434381192764481 0.0495796265390589 0.0560734697272157 0.0628177570313643 0.0696960615502652 0.0765789142103239 0.0833254653371064 0.0897618580400035 0.0956808170111653 0.100886030333177 0.10520044692947 0.108471203698312 0.110574146933145 0.111418767112235 0.110952863677911 0.109156175090765 0.106038668643275 0.101640179265441 0.0960290651347441 0.0893013883347025 0.0816085595149207 0.0731477549355143 0.0641244453620895 0.0547477854538471 0.0452266097879343 0.0357647699976085 0.0265731879554499 0.017897524294283 0.0099601131283639 0.00294185658156976 -0.00302328361342538 -0.00785246611439703 -0.011517142325807 -0.0140539748950755 -0.015551163358727 -0.0161301117753406 -0.0159363829582845 -0.0151297601666777 -0.0138740623913262 -0.0123340496838503 -0.0106660353161216 -0.0089924646055225 -0.00740144912984745 -0.00595092403437777 -0.00467376507799645 -0.00358501764696708 -0.00269397833452952 -0.00199120980504821 -0.00145219031232729 -0.00104750766729999 -0.000748776065449165 -0.000531561213892636 -0.000380519109040538 -0.000286458955223763 -0.000239673069753555 -0.000233061463402299 -0.000264274611226874 -0.00033757217321561
"5" 9.52510291770789e-05 0.000154079957173304 0.000205905123839112 0.000255807215850366 0.00030886178359534 0.000370137840355121 0.000444694694794972 0.000537652064685412 0.000655051442753987 0.000803540307190157 0.000989724854997918 0.00122013507731728 0.00150119735084547 0.00183923504717984 0.00224541559596644 0.00274124808171736 0.00334913437865034 0.00409083619566818 0.00498725125807701 0.00605812701085071 0.00732425524085047 0.00882396968913596 0.0106017051968837 0.0126980685447152 0.0151488139925685 0.0179837520362694 0.0212256394886929 0.0248922588889538 0.0289963311918877 0.0335393734719804 0.0385100037665556 0.0438828530264943 0.0496178059136012 0.0556544377777725 0.0618926382235425 0.0682138454269291 0.0744912824942752 0.0805923735123732 0.0863816942404399 0.0917233985417407 0.0964637438688607 0.100439803560409 0.103507743136677 0.105547309433595 0.106464698947814 0.106194762793631 0.104708731848473 0.102025968736725 0.098193459882955 0.0932809962661102 0.0873802350891466 0.0806029661563134 0.0730804982974224 0.0649810023267479 0.056493703538266 0.0478078568002695 0.0391087713512166 0.0305737928344342 0.0223682482997806 0.0146605947546211 0.00763686417106688 0.00145543988663254 -0.00376296638251572 -0.00793873722995867 -0.0110354515703467 -0.0130749185062154 -0.0142188959394151 -0.0146612807461275 -0.0145628451471798 -0.014053328358528 -0.0132355887313364 -0.0121919866153507 -0.011070489294187 -0.0100872303349986 -0.009399032325008 -0.00912455420658153 -0.0093776426538913 -0.0103029895009086
"6" 3.98402860426241e-05 4.24367352082032e-05 4.42995083619901e-05 4.60124035248043e-05 4.81591873777786e-05 5.13235800592165e-05 5.60892198166012e-05 6.305196597609e-05 7.29616587119702e-05 8.66724254601355e-05 0.000105039698670223 0.000128917861768999 0.000159159786230948 0.000196619675063366 0.000242722760268443 0.000300106812766352 0.000371557182794675 0.000459847762348027 0.000567735796460298 0.000697954324370214 0.000853833753484502 0.0010435031220062 0.00127725190576376 0.00156525846613863 0.0019175293451351 0.00234383563476112 0.00285378170295379 0.00346411096798422 0.00420186431988766 0.00509399352861781 0.00616619988273314 0.00744256848482264 0.00894513706699947 0.0106967174751386 0.0127332045303313 0.0150910564112996 0.0178011813250979 0.0208878528299573 0.0243675734855162 0.0282478038621022 0.0325230876208045 0.0371742278149026 0.0421703982680313 0.0474687680459706 0.0530143380613364 0.0587401992046757 0.0645559075393351 0.0703237740935666 0.0758973048780005 0.081132761175364 0.085892358636984 0.0900476258698559 0.0934802911745121 0.0960571883697689 0.0976482515923967 0.0981520142527098 0.0974970113430922 0.0956419252398544 0.092574956783122 0.0883099573114862 0.0828847429485426 0.0763669762337993 0.0688517728558018 0.0604577215559725 0.0513224588611234 0.0416025251754151 0.0315000764851665 0.0212397987075849 0.0110484127803849 0.00115059010166812 -0.00823542822408186 -0.0169036048634777 -0.0247267747382886 -0.0317044452175822 -0.0378868550943833 -0.0433617482706874 -0.0482479953238854 -0.0526897775202428
"7" -2.28218372369191e-06 -2.97774858460768e-06 -3.022633410801e-06 -2.51162458054416e-06 -1.53951108025258e-06 -2.01083095727563e-07 1.40886907148368e-06 3.20191902400602e-06 5.16900625544012e-06 7.35495453478917e-06 9.80561088634175e-06 1.25668172224802e-05 1.56844078933382e-05 1.92048056314593e-05 2.32765339330429e-05 2.82647470803334e-05 3.45621928492325e-05 4.25615149474986e-05 5.26551965966328e-05 6.52354761918963e-05 8.07483931378663e-05 0.000100054876147464 0.000124207169840421 0.000154257054099606 0.000191254070403547 0.000236244480167754 0.000290292023984097 0.000355570770909808 0.000435860686296244 0.000535050393048113 0.000657002613221905 0.000805543126602955 0.000984445560307634 0.00119851444254219 0.00145790493303844 0.00177429206322141 0.00215912283945566 0.00262353540872776 0.00317825736639255 0.00383379028143362 0.0046070711987916 0.00552117768746942 0.00659816681250274 0.00785841507644503 0.00932021634738236 0.0109993304190893 0.0129069904405431 0.0150460890385521 0.0174146692872079 0.0200064704347959 0.0228105357973631 0.0258109192025927 0.0289833210854318 0.0322579734329416 0.0355352524350993 0.0387153315127895 0.0417000258930895 0.0443942476941283 0.0467075364973454 0.0485338630916231 0.0497302538521977 0.0501628638096877 0.0497145893614981 0.0482856624570073 0.0457935776010693 0.0421868897859049 0.0375441958607446 0.0320138015136867 0.0257615336203131 0.0189708159012583 0.0118412982691967 0.00458622176254059 -0.00254604243592136 -0.00927378239518852 -0.0153287164851341 -0.0204605161161402 -0.0244384599830154 -0.0270542203742172
"8" 2.57570890121539e-06 2.28123634848813e-06 2.0434076507403e-06 1.85578959433726e-06 1.71194893684518e-06 1.6054523990614e-06 1.52986667901428e-06 1.47963900386119e-06 1.46019915084239e-06 1.48443359899179e-06 1.56537087399913e-06 1.71603946086874e-06 1.94946775475199e-06 2.27868019162936e-06 2.71604493438002e-06 3.27253780611428e-06 3.95895662578732e-06 4.78609883308731e-06 5.76476132515667e-06 6.90574019176579e-06 8.22620006978861e-06 9.79215826446557e-06 1.16922402206254e-05 1.40151871845833e-05 1.68497291564154e-05 2.02845783634623e-05 2.44103255715652e-05 2.94133278742817e-05 3.56185619209166e-05 4.33617236736943e-05 5.29783000178593e-05 6.48034611500885e-05 7.91719091205906e-05 9.64814436713586e-05 0.000117444183125569 0.000142867859271426 0.000173557674862574 0.000210315019137461 0.00025393559349867 0.00030524073919552 0.000365824298723415 0.000438046749270917 0.000524276316071127 0.000626844342188347 0.000748031480783043 0.000890050063893292 0.00105532250050889 0.00124712433830184 0.00146876628404759 0.00172335124347262 0.00201372091431026 0.00234239514115438 0.00271113042972395 0.00311644007886266 0.00355104689816953 0.00400709823130276 0.00447621205327299 0.00494948871868127 0.00541753833537188 0.00586532418224938 0.00626630853985809 0.00659283155846497 0.00681801094908863 0.00691621145898382 0.00686356287450127 0.0066410482227136 0.00625243220356746 0.00571391180034509 0.00504495338312137 0.00426828262014723 0.00340964400999649 0.00249742902247236 0.00157096331708599 0.000682166248334995 -0.000119137931520134 -0.00078646521472596 -0.00127654582605151 -0.0015490989559428
"9" -2.07796364440311e-07 -2.80786192090062e-07 -3.23607643265608e-07 -3.40650078946791e-07 -3.36302873406042e-07 -3.14955402145959e-07 -2.80997041324458e-07 -2.38734034691604e-07 -1.91435674655989e-07 -1.41667209604492e-07 -9.19804765913764e-08 -4.49273078940378e-08 -3.05953707750043e-09 3.10849991632165e-08 5.73526589966864e-08 8.06484943143765e-08 1.06523346106551e-07 1.40528053892101e-07 1.88213460652913e-07 2.55130395804449e-07 3.46447221239935e-07 4.64398842230828e-07 6.0986241594111e-07 7.83707703943783e-07 9.86804450638218e-07 1.2200223690565e-06 1.4842498167361e-06 1.78131476141221e-06 2.11440536695786e-06 2.48681594687107e-06 2.90184028963762e-06 3.36277128693992e-06 3.87290040816105e-06 4.44177137914478e-06 5.10985267859565e-06 5.92714954602273e-06 6.94365937093495e-06 8.2093622886363e-06 9.77421017894826e-06 1.16887647021917e-05 1.4018607855036e-05 1.68443010426049e-05 2.02468822666071e-05 2.43071132261709e-05 2.91053363788543e-05 3.47212644799727e-05 4.12248242378348e-05 4.86558791997708e-05 5.70465636692996e-05 6.64263128500184e-05 7.68208439867978e-05 8.82508611523741e-05 0.000100729658683373 0.000114251710455801 0.00012879361249381 0.000144318659501572 0.000160774602919966 0.000178091557861848 0.000196179195354011 0.000214669637889408 0.000232621158460266 0.000249011244931261 0.000262819940844274 0.000273044642218531 0.00027871904975188 0.000279014196494203 0.000273794162206253 0.000263290236223377 0.000247817119581706 0.000227775059747856 0.000203646881756103 0.000175998022070963 0.000145993247567721 0.00011557203482393 8.66420033511375e-05 6.10062552363541e-05 4.03631122916165e-05 2.63077889572121e-05
"1" 0.234067356035186 0.233432177668787 0.23229046326192 0.230214108657249 0.226685188980107 0.221223070570717 0.213485013491072 0.203307992598909 0.190684040179347 0.175692737109641 0.158434792217875 0.139009080566661 0.117554639392597 0.0943493506994029 0.0699286100294113 0.0451685388159231 0.021277556204526 -0.000336136345123649 -0.0183075670556696 -0.0325523656284383 -0.0404257857995227 -0.0434318753807604 -0.0423429809236716 -0.0383057276165786 -0.0325715187816304 -0.026257729859577 -0.0201997721570269 -0.0149074185669137 -0.0106018152087192 -0.00729431183532645 -0.00487207374864167 -0.00316873980015507 -0.00201211954393539 -0.00125029338978718 -0.000761752695218618 -0.000455807338926552 -0.000268235535915454 -0.000155423168358554 -8.87532062476324e-05 -4.99857481353207e-05 -2.77817775847783e-05 -1.52450003823937e-05 -8.26236556257721e-06 -4.42394570036645e-06 -2.34063041935162e-06 -1.22388204408239e-06 -6.3252525367169e-07 -3.23133406109946e-07 -1.63183091833284e-07 -8.14654681300356e-08 -4.02056449243559e-08 -1.96164881602366e-08 -9.46190835133275e-09 -4.51190119824804e-09 -2.1269735438002e-09 -9.91249783217569e-10 -4.56686597592995e-10 -2.07999423587151e-10 -9.36501027897274e-11 -4.16820657786712e-11 -1.83390435226793e-11 -7.97592846108819e-12 -3.42888266564496e-12 -1.45706706029505e-12 -6.11997827040788e-13 -2.54068550524351e-13 -1.04248538293914e-13 -4.22762414431323e-14 -1.69444169936006e-14 -6.71242186801338e-15 -2.6286691531165e-15 -1.0182574226106e-15 -3.90848791333974e-16 -1.49402387240772e-16 -5.76644997531949e-17 -2.33141865304388e-17 -1.07845985075271e-17 -6.7309401177737e-18
